Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,delete
2010,Round 20,Sun,Jul 25th,3:00pm,Manly Warringah,38,Wests Tigers,20,"S. Hayne, G. Sutton",Central Coast,"20,059",
2010,Round 20,Sun,Jul 25th,2:00pm,South Sydney,38,Warriors,28,"G. Badger, T. De Las Heras",ANZ,"13,895",
2010,Round 20,Mon,Jul 26th,7:00pm,Brisbane,30,Sydney,34,"T. Archer, A. Shortall",Suncorp,"26,486",
2010,Round 21,Fri,Jul 30th,7:35pm,Canterbury,32,South Sydney,12,"J. Maxwell, M. Cecchin",ANZ,"15,312",
2010,Round 21,Fri,Jul 30th,7:35pm,Penrith,24,North Queensland,16,"S. Lyons, T. De Las Heras",CUA Stadium,"7,080",
2010,Round 21,Sat,Jul 31st,5:30pm,Parramatta,12,Sydney,48,"S. Hayne, G. Sutton",Parramatta,"19,824",
2010,Round 21,Sat,Jul 31st,7:30pm,Wests Tigers,24,Cronulla,22,"J. Robinson, B. Suttor",Leichhardt,"14,942",
2010,Round 21,Sun,Aug 1st,3:00pm,Brisbane,10,St George Illawarra,6,"A. Klein, G. Badger",Suncorp,"42,269",
2010,Round 21,Sun,Aug 1st,2:00pm,Melbourne,36,Canberra,12,"B. Cummins, P. Haines",AAMI Park,"9,112",
2010,Round 21,Sun,Aug 1st,2:00pm,Warriors,20,Gold Coast Titans,28,"T. Archer, A. Shortall",Mt Smart,"12,017",
2010,Round 21,Mon,Aug 2nd,7:00pm,Newcastle,32,Manly Warringah,14,"J. Maxwell, M. Cecchin",EnergyAustralia,"14,267",
2010,Round 22,Fri,Aug 6th,7:35pm,Gold Coast Titans,34,Parramatta,12,"G. Badger, T. De Las Heras",Skilled Park,"19,568",
2010,Round 22,Fri,Aug 6th,7:35pm,North Queensland,26,Brisbane,34,"B. Cummins, G. Sutton",Dairy Farmers,"20,148",
2010,Round 22,Sat,Aug 7th,7:30pm,Cronulla,10,Warriors,37,"S. Lyons, C. James",Toyota,"7,510",
2010,Round 22,Sat,Aug 7th,5:30pm,Manly Warringah,26,Melbourne,6,"M. Cecchin, B. Suttor",Brookvale,"12,550",
2010,Round 22,Sat,Aug 7th,7:30pm,South Sydney,34,Wests Tigers,30,"J. Maxwell, J. Robinson",ANZ,"23,298",
2010,Round 22,Sun,Aug 8th,2:00pm,Newcastle,30,Canterbury,6,"G. Badger, A. Klein",EnergyAustralia,"17,316",
2010,Round 22,Sun,Aug 8th,3:00pm,Sydney,12,St George Illawarra,19,"T. Archer, A. Shortall",SCG,"37,994",
2010,Round 22,Mon,Aug 9th,7:00pm,Canberra,30,Penrith,26,"B. Cummins, P. Haines",Canberra Stadium,"8,850",
2010,Round 23,Fri,Aug 13th,7:35pm,Brisbane,14,Parramatta,30,"T. Archer, A. Shortall",Suncorp,"38,193",
2010,Round 23,Fri,Aug 13th,7:35pm,Cronulla,18,Sydney,12,"M. Cecchin, T. De Las Heras",Toyota,"8,911",
2010,Round 23,Sat,Aug 14th,7:30pm,Canterbury,14,Canberra,28,"J. Maxwell, B. Suttor",ANZ,"10,116",
2010,Round 23,Sat,Aug 14th,5:30pm,Gold Coast Titans,37,North Queensland,18,"J. Robinson, A. Klein",Skilled Park,"14,032",
2010,Round 23,Sun,Aug 15th,2:00pm,Melbourne,18,South Sydney,16,"S. Lyons, C. James",AAMI Park,"9,172",
2010,Round 23,Sun,Aug 15th,2:00pm,Warriors,22,Newcastle,10,"B. Cummins, G. Sutton",Mt Smart,"12,824",
2010,Round 23,Sun,Aug 15th,3:00pm,Wests Tigers,43,Penrith,18,"T. Archer, G. Badger",Campbelltown,"17,208",
2010,Round 23,Mon,Aug 16th,7:00pm,St George Illawarra,32,Manly Warringah,10,"S. Hayne, M. Cecchin",WIN Jubilee,"14,740",
2010,Round 24,Fri,Aug 20th,7:35pm,Newcastle,44,Brisbane,18,"B. Cummins, G. Badger",EnergyAustralia,"16,668",
2010,Round 24,Fri,Aug 20th,7:35pm,Penrith,54,South Sydney,18,"T. Archer, A. Shortall",CUA Stadium,"13,411",
2010,Round 24,Sat,Aug 21st,5:30pm,Manly Warringah,19,Warriors,16,"J. Maxwell, S. Lyons",Brookvale,"13,095",
2010,Round 24,Sat,Aug 21st,7:30pm,Melbourne,24,Cronulla,4,"A. Klein, L. Phillips",AAMI Park,"8,902",
2010,Round 24,Sat,Aug 21st,7:30pm,North Queensland,20,Canterbury,22,"J. Robinson, G. Reynolds",Dairy Farmers,"11,742",
2010,Round 24,Sun,Aug 22nd,2:00pm,Canberra,32,St George Illawarra,16,"M. Cecchin, T. De Las Heras",Canberra Stadium,"20,445",
2010,Round 24,Sun,Aug 22nd,3:00pm,Parramatta,18,Wests Tigers,20,"S. Hayne, B. Cummins",Parramatta,"19,854",
2010,Round 24,Mon,Aug 23rd,7:00pm,Sydney,14,Gold Coast Titans,23,"G. Badger, S. Lyons",SFS,"9,113",
2010,Round 25,Fri,Aug 27th,7:35pm,South Sydney,24,Parramatta,16,"B. Cummins, M. Cecchin",ANZ,"19,098",
2010,Round 25,Fri,Aug 27th,8:00pm,Warriors,36,Brisbane,4,"J. Maxwell, T. De Las Heras",Mt Smart,"21,627",
2010,Round 25,Sat,Aug 28th,7:30pm,Canberra,48,North Queensland,4,"A. Klein, B. Suttor",Canberra Stadium,"11,434",
2010,Round 25,Sat,Aug 28th,5:30pm,Cronulla,30,Gold Coast Titans,16,"J. Robinson, C. James",Toyota,"10,116",
2010,Round 25,Sat,Aug 28th,7:30pm,Newcastle,18,St George Illawarra,26,"S. Hayne, G. Sutton",EnergyAustralia,"23,148",
2010,Round 25,Sun,Aug 29th,3:00pm,Sydney,30,Manly Warringah,14,"T. Archer, M. Cecchin",SFS,"18,962",
2010,Round 25,Sun,Aug 29th,2:00pm,Wests Tigers,26,Melbourne,14,"G. Badger, A. Shortall",Leichhardt,"20,168",
2010,Round 25,Mon,Aug 30th,7:00pm,Canterbury,18,Penrith,24,"S. Lyons, T. De Las Heras",ANZ,"13,794",
2010,Round 26,Fri,Sep 3rd,7:35pm,Brisbane,16,Canberra,18,"J. Maxwell, G. Sutton",Suncorp,"38,872",
2010,Round 26,Fri,Sep 3rd,7:35pm,Gold Coast Titans,21,Wests Tigers,18,"T. Archer, G. Badger",Skilled Park,"26,103",
2010,Round 26,Sat,Sep 4th,7:30pm,North Queensland,8,Sydney,18,"S. Lyons, B. Suttor",Dairy Farmers,"12,033",
2010,Round 26,Sat,Sep 4th,5:30pm,Parramatta,12,Warriors,26,"M. Cecchin, T. De Las Heras",Parramatta,"11,383",
2010,Round 26,Sat,Sep 4th,7:30pm,Penrith,50,Cronulla,12,"J. Robinson, C. James",CUA Stadium,"10,997",
2010,Round 26,Sun,Sep 5th,3:00pm,Manly Warringah,24,Canterbury,30,"S. Hayne, G. Badger",Brookvale,"15,933",
2010,Round 26,Sun,Sep 5th,2:00pm,Melbourne,34,Newcastle,4,"A. Klein, G. Morris",AAMI Park,"20,517",
2010,Round 26,Sun,Sep 5th,7:00pm,St George Illawarra,38,South Sydney,24,"B. Cummins, A. Shortall",WIN Jubilee,"18,274",
2010,Qualif Final,Fri,Sep 10th,7:45pm,Gold Coast Titans,28,Warriors,16,"T. Archer, G. Badger",Skilled Park,"27,026",
2010,Qualif Final,Sat,Sep 11th,8:30pm,Penrith,22,Canberra,24,"B. Cummins, S. Lyons",CUA Stadium,"16,668",
2010,Qualif Final,Sat,Sep 11th,6:30pm,Wests Tigers,15,Sydney,19,"S. Hayne, M. Cecchin",SFS,"33,315",
2010,Qualif Final,Sun,Sep 12th,4:00pm,St George Illawarra,28,Manly Warringah,0,"J. Maxwell, J. Robinson",WIN Jubilee,"15,574",
2010,Semi Final,Fri,Sep 17th,7:45pm,Canberra,24,Wests Tigers,26,"T. Archer, J. Maxwell",Canberra Stadium,"26,476",
2010,Semi Final,Sat,Sep 18th,7:45pm,Sydney,34,Penrith,12,"S. Hayne, B. Cummins",SFS,"23,459",
2010,Prelim Final,Fri,Sep 24th,7:45pm,Gold Coast Titans,6,Sydney,32,"T. Archer, J. Maxwell",Suncorp,"44,787",
2010,Prelim Final,Sat,Sep 25th,7:45pm,St George Illawarra,13,Wests Tigers,12,"S. Hayne, B. Cummins",ANZ,"71,212",
2010,Grand Final,Sun,Oct 3rd,5:15pm,St George Illawarra,32,Sydney,8,"T. Archer, S. Hayne",ANZ,"82,334",
2011,Round 1,Fri,Mar 11th,7:30pm,Brisbane,14,North Queensland,16,"S. Hayne, G. Sutton",Suncorp,"45,119",
2011,Round 1,Fri,Mar 11th,7:30pm,Sydney,40,South Sydney,29,"T. Archer, A. Shortall",SFS,"28,703",
2011,Round 1,Sat,Mar 12th,6:30pm,Gold Coast Titans,16,St George Illawarra,25,"J. Maxwell, P. Haines",Skilled Park,"21,709",
2011,Round 1,Sat,Mar 12th,7:30pm,Melbourne,18,Manly Warringah,6,"M. Cecchin, G. Reynolds",AAMI Park,"14,651",
2011,Round 1,Sat,Mar 12th,7:30pm,Warriors,18,Parramatta,24,"S. Lyons, C. James",Eden Park,"38,405",
2011,Round 1,Sun,Mar 13th,2:00pm,Canberra,40,Cronulla,12,"A. Klein, A. Devcich",Canberra Stadium,"13,450",
2011,Round 1,Sun,Mar 13th,3:00pm,Penrith,8,Newcastle,42,"B. Cummins, T. De Las Heras",Centrebet,"12,431",
2011,Round 1,Mon,Mar 14th,7:00pm,Canterbury,24,Wests Tigers,14,"G. Badger, B. Suttor",ANZ,"26,737",
2011,Round 2,Fri,Mar 18th,8:30pm,Canberra,4,Brisbane,20,"M. Cecchin, S. Lyons",Canberra Stadium,"16,146",
2011,Round 2,Fri,Mar 18th,7:30pm,Parramatta,6,Penrith,20,"S. Hayne, G. Sutton",Parramatta,"15,974",
2011,Round 2,Sat,Mar 19th,5:30pm,Melbourne,40,Gold Coast Titans,12,"A. Klein, A. Devcich",AAMI Park,"12,391",
2011,Round 2,Sat,Mar 19th,8:30pm,North Queensland,22,Newcastle,34,"J. Maxwell, P. Haines",Dairy Farmers,"14,061",
2011,Round 2,Sat,Mar 19th,7:30pm,Wests Tigers,20,Warriors,12,"T. Archer, A. Shortall",Leichhardt,"13,161",
2011,Round 2,Sun,Mar 20th,2:00pm,South Sydney,19,Canterbury,28,"G. Badger, B. Suttor",ANZ,"18,271",
2011,Round 2,Sun,Mar 20th,3:00pm,Sydney,16,Manly Warringah,27,"B. Cummins, T. De Las Heras",SFS,"11,016",
2011,Round 2,Mon,Mar 21st,7:00pm,Cronulla,16,St George Illawarra,10,"J. Robinson, C. James",Toyota,"12,183",
2011,Round 3,Fri,Mar 25th,7:30pm,Gold Coast Titans,8,Brisbane,14,"G. Badger, B. Suttor",Skilled Park,"20,226",
2011,Round 3,Fri,Mar 25th,7:30pm,Parramatta,18,South Sydney,32,"S. Lyons, M. Cecchin",ANZ,"22,153",
2011,Round 3,Sat,Mar 26th,5:30pm,Penrith,12,Cronulla,44,"J. Maxwell, P. Haines",Centrebet,"9,275",
2011,Round 3,Sat,Mar 26th,6:30pm,Wests Tigers,34,Canberra,24,"J. Robinson, C. James",Campbelltown,"14,091",
2011,Round 3,Sun,Mar 27th,2:00pm,Canterbury,24,Sydney,20,"A. Klein, A. Devcich",ANZ,"23,723",
2011,Round 3,Sun,Mar 27th,3:00pm,Manly Warringah,26,Newcastle,12,"S. Hayne, G. Sutton",Brookvale,"13,087",
2011,Round 3,Sun,Mar 27th,2:00pm,Warriors,12,St George Illawarra,25,"B. Cummins, T. De Las Heras",Mt Smart,"11,651",
2011,Round 3,Mon,Mar 28th,7:00pm,North Queensland,34,Melbourne,6,"T. Archer, A. Shortall",Dairy Farmers,"9,554",
2011,Round 4,Fri,Apr 1st,7:30pm,Brisbane,18,Penrith,10,"J. Robinson, C. James",Suncorp,"25,263",
2011,Round 4,Fri,Apr 1st,7:30pm,South Sydney,32,Manly Warringah,30,"A. Klein, A. Devcich",Central Coast,"18,108",
2011,Round 4,Sat,Apr 2nd,5:30pm,Canberra,22,Gold Coast Titans,23,"S. Lyons, M. Cecchin",Canberra Stadium,"12,165",
2011,Round 4,Sat,Apr 2nd,7:30pm,Parramatta,22,North Queensland,20,"J. Maxwell, P. Haines",Parramatta,"12,226",
2011,Round 4,Sun,Apr 3rd,2:00pm,Cronulla,18,Warriors,26,"G. Badger, B. Suttor",Owen Delany,"14,645",
2011,Round 4,Sun,Apr 3rd,2:00pm,Newcastle,18,St George Illawarra,20,"B. Cummins, T. De Las Heras",Ausgrid,"20,986",
2011,Round 4,Sun,Apr 3rd,3:00pm,Sydney,24,Wests Tigers,6,"T. Archer, A. Shortall",SFS,"20,479",
2011,Round 4,Mon,Apr 4th,7:00pm,Melbourne,30,Canterbury,16,"S. Hayne, G. Sutton",AAMI Park,"11,592",
2011,Round 5,Fri,Apr 8th,7:30pm,North Queensland,22,Gold Coast Titans,12,"B. Cummins, T. De Las Heras",Dairy Farmers,"13,651",
2011,Round 5,Fri,Apr 8th,7:30pm,Wests Tigers,30,South Sydney,6,"A. Klein, A. Devcich",SFS,"22,677",
2011,Round 5,Sat,Apr 9th,7:30pm,Cronulla,13,Manly Warringah,19,"M. Cecchin, S. Lyons",Toyota,"15,133",
2011,Round 5,Sat,Apr 9th,7:30pm,Penrith,36,Canberra,10,"G. Badger, B. Suttor",Centrebet,"10,229",
2011,Round 5,Sat,Apr 9th,7:30pm,Warriors,24,Sydney,12,"J. Robinson, C. James",Mt Smart,"13,312",
2011,Round 5,Sun,Apr 10th,2:00pm,Melbourne,38,Parramatta,0,"T. Archer, A. Shortall",AAMI Park,"11,805",
2011,Round 5,Sun,Apr 10th,3:00pm,St George Illawarra,25,Canterbury,6,"S. Hayne, G. Sutton",SCG,"31,122",
2011,Round 5,Mon,Apr 11th,7:00pm,Brisbane,17,Newcastle,6,"J. Maxwell, P. Haines",Suncorp,"24,522",
2011,Round 6,Fri,Apr 15th,7:30pm,Gold Coast Titans,20,Wests Tigers,14,"S. Hayne, A. Devcich",Skilled Park,"17,221",
2011,Round 6,Fri,Apr 15th,7:30pm,Parramatta,14,Canterbury,34,"A. Klein, G. Sutton",ANZ,"30,687",
2011,Round 6,Sat,Apr 16th,5:30pm,Manly Warringah,20,Warriors,10,"T. Archer, B. Suttor",Brookvale,"8,680",
2011,Round 6,Sat,Apr 16th,7:30pm,North Queensland,26,Canberra,18,"G. Badger, S. Lyons",Dairy Farmers,"10,741",
2011,Round 6,Sat,Apr 16th,7:30pm,Sydney,6,Brisbane,24,"M. Cecchin, G. Reynolds",Central Coast,"8,616",
2011,Round 6,Sun,Apr 17th,2:00pm,Newcastle,24,Cronulla,20,"J. Robinson, P. Haines",Ausgrid,"12,796",
2011,Round 6,Sun,Apr 17th,3:00pm,Penrith,10,Melbourne,25,"B. Cummins, C. James",Centrebet,"11,137",
2011,Round 6,Mon,Apr 18th,7:00pm,South Sydney,0,St George Illawarra,16,"J. Maxwell, A. Shortall",ANZ,"22,771",
2011,Round 7,Fri,Apr 22nd,7:30pm,Manly Warringah,22,Penrith,16,"J. Robinson, P. Haines",Brookvale,"14,623",
2011,Round 7,Fri,Apr 22nd,7:30pm,Wests Tigers,18,Brisbane,31,"T. Archer, B. Suttor",SFS,"19,494",
2011,Round 7,Sat,Apr 23rd,7:30pm,Canterbury,36,South Sydney,24,"B. Cummins, T. De Las Heras",ANZ,"22,352",
2011,Round 7,Sat,Apr 23rd,5:30pm,Cronulla,12,North Queensland,30,"G. Badger, S. Lyons",Toyota,"7,340",
2011,Round 7,Sun,Apr 24th,2:00pm,Canberra,12,Newcastle,22,"M. Cecchin, G. Reynolds",Canberra Stadium,"11,879",
2011,Round 7,Sun,Apr 24th,3:00pm,Parramatta,22,Gold Coast Titans,18,"A. Klein, G. Sutton",Parramatta,"10,052",
2011,Round 7,Mon,Apr 25th,7:00pm,Melbourne,14,Warriors,18,"S. Hayne, G. Morris",AAMI Park,"22,694",
2011,Round 7,Mon,Apr 25th,4:00pm,Sydney,10,St George Illawarra,24,"J. Maxwell, A. Shortall",SFS,"34,976",
2011,Round 8,Fri,Apr 29th,7:30pm,Brisbane,20,Canterbury,12,"G. Badger, A. Devcich",Suncorp,"30,538",
2011,Round 8,Fri,Apr 29th,7:30pm,South Sydney,31,Cronulla,12,"T. Archer, B. Suttor",ANZ,"9,263",
2011,Round 8,Sat,Apr 30th,5:30pm,Gold Coast Titans,24,Sydney,13,"M. Cecchin, G. Reynolds",Skilled Park,"15,177",
2011,Round 8,Sat,Apr 30th,7:30pm,Melbourne,42,Newcastle,12,"J. Robinson, C. James",AAMI Park,"9,460",
2011,Round 8,Sat,Apr 30th,7:30pm,North Queensland,22,Manly Warringah,20,"S. Hayne, G. Morris",Dairy Farmers,"14,884",
2011,Round 8,Sun,May 1st,2:00pm,Canberra,12,Wests Tigers,49,"A. Klein, G. Sutton",Canberra Stadium,"13,425",
2011,Round 8,Sun,May 1st,3:00pm,St George Illawarra,30,Parramatta,0,"B. Cummins, T. De Las Heras",WIN Jubilee,"19,319",
2011,Round 8,Sun,May 1st,2:00pm,Warriors,26,Penrith,18,"J. Maxwell, A. Shortall",Mt Smart,"11,412",
2011,Round 9,Sat,May 7th,7:30pm,Brisbane,22,Melbourne,29,"S. Hayne, T. De Las Heras",Suncorp,"34,175",
2011,Round 9,Sun,May 8th,2:00pm,Gold Coast Titans,14,Warriors,34,"J. Maxwell, J. Robinson",Skilled Park,"17,285",
2011,Round 9,Sun,May 8th,3:00pm,St George Illawarra,22,North Queensland,8,"M. Cecchin, G. Badger",WIN Jubilee,"13,056",
2011,Round 9,Mon,May 9th,7:00pm,Manly Warringah,20,Canberra,0,"T. Archer, S. Lyons",Brookvale,"6,148",
2011,Round 10,Fri,May 13th,7:30pm,Canterbury,10,St George Illawarra,15,"B. Cummins, T. De Las Heras",ANZ,"34,322",
2011,Round 10,Fri,May 13th,7:30pm,Penrith,33,Brisbane,10,"M. Cecchin, P. Haines",Centrebet,"11,336",
2011,Round 10,Sat,May 14th,5:30pm,Melbourne,12,Canberra,20,"G. Sutton, C. James",AAMI Park,"9,628",
2011,Round 10,Sat,May 14th,7:30pm,North Queensland,40,Parramatta,26,"A. Klein, L. Phillips",Dairy Farmers,"13,610",
2011,Round 10,Sat,May 14th,7:30pm,South Sydney,29,Wests Tigers,18,"J. Maxwell, S. Lyons",ANZ,"18,235",
2011,Round 10,Sun,May 15th,3:00pm,Cronulla,18,Sydney,4,"S. Hayne, G. Morris",Toyota,"14,458",
2011,Round 10,Sun,May 15th,2:00pm,Newcastle,16,Warriors,25,"T. Archer, B. Suttor",Ausgrid,"18,158",
2011,Round 10,Mon,May 16th,7:00pm,Gold Coast Titans,12,Manly Warringah,16,"G. Badger, A. Devcich",Skilled Park,"12,360",
2011,Round 11,Fri,May 20th,7:30pm,Canberra,20,Canterbury,12,"S. Hayne, C. James",Canberra Stadium,"12,865",
2011,Round 11,Sat,May 21st,7:30pm,Wests Tigers,20,Penrith,18,"B. Cummins, B. Suttor",Campbelltown,"16,172",
2011,Round 11,Sun,May 22nd,3:00pm,Sydney,12,Newcastle,10,"M. Cecchin, A. Devcich",SFS,"10,146",
2011,Round 11,Sun,May 22nd,4:00pm,Warriors,12,South Sydney,6,"S. Lyons, P. Haines",Mt Smart,"16,872",
2011,Round 11,Mon,May 23rd,7:00pm,Parramatta,40,Cronulla,6,"J. Robinson, A. Shortall",Parramatta,"10,628",
2011,Round 12,Fri,May 27th,8:45pm,Canterbury,28,Gold Coast Titans,6,"A. Klein, T. De Las Heras",Suncorp,"32,283",
2011,Round 12,Fri,May 27th,7:00pm,Manly Warringah,34,Brisbane,10,"B. Cummins, G. Sutton",Suncorp,"32,283",
2011,Round 12,Sat,May 28th,5:30pm,Newcastle,8,Parramatta,6,"G. Badger, B. Suttor",Ausgrid,"18,723",
2011,Round 12,Sat,May 28th,7:30pm,North Queensland,20,Sydney,6,"J. Robinson, A. Devcich",Dairy Farmers,"13,335",
2011,Round 12,Sun,May 29th,2:00pm,Melbourne,14,Cronulla,8,"S. Lyons, P. Haines",AAMI Park,"9,733",
2011,Round 12,Sun,May 29th,3:00pm,St George Illawarra,24,Wests Tigers,18,"M. Cecchin, A. Shortall",WIN Jubilee,"19,892",
2011,Round 12,Mon,May 30th,7:00pm,Penrith,22,South Sydney,10,"S. Hayne, L. Phillips",Centrebet,"5,703",
2011,Round 13,Fri,Jun 3rd,7:30pm,Cronulla,16,Brisbane,34,"M. Cecchin, T. De Las Heras",Toyota,"14,436",
2011,Round 13,Fri,Jun 3rd,7:30pm,Parramatta,14,St George Illawarra,14,"A. Klein, G. Sutton",Parramatta,"16,066",
2011,Round 13,Sat,Jun 4th,7:30pm,Canterbury,4,Manly Warringah,38,"S. Hayne, A. Devcich",ANZ,"19,830",
2011,Round 13,Sat,Jun 4th,5:30pm,Gold Coast Titans,10,Penrith,23,"T. Archer, L. Phillips",Skilled Park,"12,262",
2011,Round 13,Sat,Jun 4th,7:30pm,Sydney,13,Warriors,6,"J. Robinson, A. Shortall",SFS,"10,116",
2011,Round 13,Sun,Jun 5th,2:00pm,Canberra,24,North Queensland,40,"G. Badger, P. Haines",Canberra Stadium,"11,128",
2011,Round 13,Sun,Jun 5th,3:00pm,South Sydney,6,Melbourne,16,"B. Cummins, C. James",ANZ,"11,528",
2011,Round 13,Mon,Jun 6th,7:00pm,Wests Tigers,17,Newcastle,16,"J. Maxwell, S. Lyons",Leichhardt,"18,021",
2011,Round 14,Fri,Jun 10th,7:45pm,St George Illawarra,14,Gold Coast Titans,28,"T. Archer, A. Shortall",WIN Jubilee,"10,139",
2011,Round 14,Sat,Jun 11th,7:30pm,Manly Warringah,24,North Queensland,4,"J. Maxwell, G. Sutton",Brookvale,"8,452",
2011,Round 14,Sun,Jun 12th,2:00pm,Brisbane,25,Canberra,24,"J. Robinson, B. Suttor",Suncorp,"21,378",
2011,Round 14,Sun,Jun 12th,4:00pm,Warriors,22,Wests Tigers,26,"A. Klein, A. Devcich",Mt Smart,"15,889",
2011,Round 14,Mon,Jun 13th,7:00pm,Melbourne,21,Sydney,4,"G. Badger, T. De Las Heras",AAMI Park,"9,843",
2011,Round 15,Fri,Jun 17th,7:30pm,Brisbane,21,St George Illawarra,14,"J. Maxwell, G. Sutton",Suncorp,"34,185",
2011,Round 15,Fri,Jun 17th,7:30pm,South Sydney,31,Gold Coast Titans,8,"J. Robinson, B. Suttor",ANZ,"8,021",
2011,Round 15,Sat,Jun 18th,5:30pm,Newcastle,16,Penrith,12,"G. Badger, T. De Las Heras",Ausgrid,"16,652",
2011,Round 15,Sat,Jun 18th,7:30pm,North Queensland,30,Warriors,10,"M. Cecchin, M. Wise",Dairy Farmers,"16,081",
2011,Round 15,Sun,Jun 19th,2:00pm,Canterbury,10,Cronulla,26,"S. Lyons, A. Shortall",ANZ,"14,879",
2011,Round 15,Sun,Jun 19th,3:00pm,Wests Tigers,4,Melbourne,12,"A. Klein, A. Devcich",Leichhardt,"20,486",
2011,Round 15,Mon,Jun 20th,7:00pm,Manly Warringah,22,Parramatta,18,"T. Archer, P. Haines",Brookvale,"13,959",
2011,Round 16,Fri,Jun 24th,7:00pm,South Sydney,16,Brisbane,12,"J. Robinson, S. Lyons",nib Stadium,"15,371",
2011,Round 16,Fri,Jun 24th,7:30pm,Wests Tigers,6,Canterbury,16,"M. Cecchin, A. Shortall",Campbelltown,"19,252",
2011,Round 16,Sat,Jun 25th,7:30pm,Canberra,25,Parramatta,12,"J. Maxwell, C. James",Canberra Stadium,"13,457",
2011,Round 16,Sat,Jun 25th,5:30pm,Gold Coast Titans,12,Cronulla,36,"T. De Las Heras, G. Sutton",Skilled Park,"12,997",
2011,Round 16,Sun,Jun 26th,3:00pm,Newcastle,18,Sydney,10,"B. Cummins, A. Devcich",Ausgrid,"22,326",
2011,Round 16,Sun,Jun 26th,2:00pm,Penrith,30,North Queensland,20,"A. Klein, P. Haines",Centrebet,"14,090",
2011,Round 16,Sun,Jun 26th,2:00pm,Warriors,8,Melbourne,16,"T. Archer, B. Suttor",Mt Smart,"13,362",
2011,Round 16,Mon,Jun 27th,7:00pm,St George Illawarra,24,Manly Warringah,6,"S. Hayne, G. Badger",WIN Jubilee,"18,947",
2011,Round 17,Fri,Jul 1st,7:45pm,Parramatta,12,Brisbane,16,"J. Maxwell, P. Haines",Parramatta,"11,079",
2011,Round 17,Sat,Jul 2nd,7:30pm,Penrith,20,Canterbury,6,"J. Robinson, B. Suttor",Centrebet,"15,383",
2011,Round 17,Sun,Jul 3rd,2:00pm,Cronulla,26,South Sydney,4,"S. Lyons, C. James",Toyota,"18,829",
2011,Round 17,Sun,Jul 3rd,3:00pm,St George Illawarra,10,Newcastle,14,"B. Cummins, A. Shortall",WIN Stadium,"17,205",
2011,Round 17,Mon,Jul 4th,7:00pm,Sydney,12,Canberra,38,"M. Cecchin, H. Perenara",SFS,"9,817",
2011,Round 18,Fri,Jul 8th,7:30pm,Parramatta,22,Wests Tigers,6,"B. Cummins, P. Haines",Parramatta,"19,654",
2011,Round 18,Fri,Jul 8th,8:30pm,Warriors,22,Gold Coast Titans,6,"G. Badger, A. Devcich",Mt Smart,"10,780",
2011,Round 18,Sat,Jul 9th,7:30pm,Canterbury,18,Melbourne,28,"S. Lyons, C. James",Adelaide,"9,963",
2011,Round 18,Sat,Jul 9th,5:30pm,Cronulla,26,Canberra,12,"J. Robinson, G. Sutton",Toyota,"10,303",
2011,Round 18,Sun,Jul 10th,3:00pm,Manly Warringah,36,South Sydney,22,"A. Klein, B. Suttor",Brookvale,"19,856",
2011,Round 18,Sun,Jul 10th,2:00pm,Sydney,34,Penrith,26,"M. Cecchin, H. Perenara",SFS,"9,713",
2011,Round 18,Mon,Jul 11th,7:00pm,Newcastle,12,North Queensland,22,"J. Maxwell, T. De Las Heras",Ausgrid,"17,212",
2011,Round 19,Fri,Jul 15th,7:30pm,Brisbane,30,Gold Coast Titans,10,"G. Badger, C. James",Suncorp,"31,035",
2011,Round 19,Fri,Jul 15th,8:30pm,Warriors,36,Canterbury,12,"S. Hayne, G. Reynolds",Mt Smart,"12,012",
2011,Round 19,Sat,Jul 16th,7:30pm,North Queensland,18,Wests Tigers,38,"B. Cummins, G. Sutton",Dairy Farmers,"12,880",
2011,Round 19,Sat,Jul 16th,7:30pm,Penrith,23,Parramatta,22,"J. Maxwell, A. Shortall",Centrebet,"17,333",
2011,Round 19,Sat,Jul 16th,5:30pm,South Sydney,21,Sydney,20,"B. Suttor, P. Haines",ANZ,"14,671",
2011,Round 19,Sun,Jul 17th,2:00pm,Canberra,0,Melbourne,26,"M. Cecchin, A. Devcich",Canberra Stadium,"11,853",
2011,Round 19,Sun,Jul 17th,3:00pm,Newcastle,10,Manly Warringah,32,"T. Archer, A. Klein",Ausgrid,"21,798",
2011,Round 19,Mon,Jul 18th,7:00pm,St George Illawarra,38,Cronulla,8,"J. Robinson, S. Lyons",WIN Jubilee,"16,879",
2011,Round 20,Fri,Jul 22nd,7:30pm,Canterbury,8,Parramatta,7,"A. Shortall, G. Sutton",ANZ,"15,126",
2011,Round 20,Fri,Jul 22nd,7:30pm,Melbourne,26,Brisbane,6,"T. Archer, A. Klein",AAMI Park,"22,912",
2011,Round 20,Sat,Jul 23rd,7:30pm,Cronulla,0,Newcastle,18,"G. Badger, T. De Las Heras",Toyota,"6,513",
2011,Round 20,Sat,Jul 23rd,5:30pm,Gold Coast Titans,20,North Queensland,28,"J. Maxwell, H. Perenara",Skilled Park,"15,741",
2011,Round 20,Sat,Jul 23rd,7:30pm,Wests Tigers,19,Sydney,12,"J. Robinson, A. Devcich",Leichhardt,"10,178",
