referee,team,with,without,difference
M. Cecchin,South Sydney,0.5454545454545454,0.5227817745803357,2.2672770874209713
G. Badger,South Sydney,0.5333333333333333,0.5238095238095238,0.952380952380949
A. Shortall,South Sydney,0.3448275862068966,0.5368171021377672,-19.198951593087067
S. Hayne,South Sydney,0.48148148148148145,0.5812274368231047,-9.974595534162328
J. Maxwell,South Sydney,0.5,0.5452127659574468,-4.521276595744683
G. Sutton,South Sydney,0.5,0.5259433962264151,-2.594339622641506
C. James,South Sydney,0.47619047619047616,0.5268065268065268,-5.061605061605068
H. Perenara,South Sydney,0.7058823529411765,0.5467128027681661,15.916955017301039
B. Suttor,South Sydney,0.5882352941176471,0.5493562231759657,3.8879070941681415
S. Lyons,South Sydney,0.7058823529411765,0.4861878453038674,21.96945076373091
G. Sutton,North Queensland,0.4166666666666667,0.5502392344497608,-13.357256778309406
B. Cummins,North Queensland,0.5789473684210527,0.5327102803738317,4.623708804722093
A. Klein,North Queensland,0.5454545454545454,0.535796766743649,0.9657778710896459
M. Cecchin,North Queensland,0.5625,0.5345622119815668,2.7937788018433163
G. Badger,North Queensland,0.5666666666666667,0.5344036697247706,3.226299694189605
A. Shortall,North Queensland,0.6071428571428571,0.5319634703196348,7.517938682322233
J. Maxwell,North Queensland,0.3333333333333333,0.5440414507772021,-21.07081174438688
G. Reynolds,North Queensland,0.5,0.5475,-4.749999999999998
J. Robinson,North Queensland,0.4117647058823529,0.47186147186147187,-6.009676597911895
C. James,North Queensland,0.8235294117647058,0.5256124721603563,29.79169396043495
S. Hayne,North Queensland,0.4117647058823529,0.4911660777385159,-7.940137185616297
G. Badger,Penrith,0.5483870967741935,0.47721822541966424,7.116887135452926
B. Cummins,Penrith,0.32142857142857145,0.4928571428571429,-17.142857142857142
M. Cecchin,Penrith,0.4444444444444444,0.4845605700712589,-4.011612562681449
A. Shortall,Penrith,0.7037037037037037,0.4679334916864608,23.577021201724293
C. James,Penrith,0.48,0.48226950354609927,-0.2269503546099283
J. Maxwell,Penrith,0.56,0.46900269541778977,9.099730458221028
J. Robinson,Penrith,0.47619047619047616,0.43946188340807174,3.672859278240442
